Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),CIE x coordinate,Formula
7.02,2,0.02,1.98,148,63,7,56,347.382,151.964,14.007,137.957,635,215,60,155,9.27,3.44,0,3.44,19,6,2,4,47.185916,14.53413,5.211664,9.322466,115.26,56,1.26,54.74,256.54828,137.327,3.03928,134.28772,688.7,220,3.7,216.3,17.65,6.88,0,6.88,32.04,12,0.04,11.96,77.9328057,29.06826,0.1134077,28.9548523,298,450,0.076,BaSi2N2O2Eu0.02
7,2,0.02,1.98,148,63,7,56,347.382,151.964,14.007,137.957,635,215,60,155,9.27,3.44,0,3.44,19,6,2,4,47.185916,14.53413,5.211664,9.322466,114.14,54.88,1.26,53.62,253.80174,134.58046,3.03928,131.54118,684.4,220,3.7,216.3,17.6322,6.88,0,6.88,32,12,0.04,11.96,77.82857242,29.06826,0.1134077,28.9548523,298,450,0.076,Ba0.98Si2N2O2Eu0.02
20.98,12,0.01,11.99,219,63,8,55,517.1574044,151.964,15.999,135.965,985,215,50,165,12.53,3.98,0,3.98,26,7,1,6,63.1255857,17.42282,5.1390767,12.2837433,384.95,166.32,0.63,165.69,875.1837584,407.86119,1.51964,406.34155,2085.4,720,1.85,718.15,56.5033,41.28,0,41.28,103.96,72,0.02,71.98,238.5508486,163.416648,0.05670385,163.3599442,298,355,0.133,Ba2.97LaNaP3O12FEu0.01
21.03,12,0.03,11.97,183,63,8,55,417.4507744,151.964,15.999,135.965,955,200,50,150,12.71,3.98,0,3.98,26,7,1,6,64.2491489,17.42282,5.1390767,12.2837433,315.89,114,1.89,112.11,683.2222184,262.86,4.55892,258.30108,2035.55,720,5.55,714.45,56.83,41.28,0,41.28,104.06,72,0.06,71.94,240.9105759,163.416648,0.17011155,163.2465365,298,365,0.133,Sr3NaYP3O12FEu0.03
12,7,0.002,6.998,181,63,8,55,417.429208,151.964,15.999,135.965,950,220,60,160,8.41,3.44,0,3.44,18,6,1,5,43.55393954,13.618054,4.34066354,9.27739046,180.014,56,0.126,55.874,389.573482,137.052346,0.303928,136.748418,1234.94,420,0.37,419.63,30.94822,24.08,0,24.08,56,42,0.004,41.996,127.744479,95.326378,0.01134077,95.31503723,298,350,0.1391,KBa0.998ScSi2O7Eu0.002
7,4,0.01,3.99,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.07,55.44,0.63,54.81,239.383132,135.95373,1.51964,134.43409,699.7,240,1.85,238.15,17.8111,13.76,0,13.76,32,24,0.02,23.98,75.56686797,54.472216,0.05670385,54.41551215,298,350,0.1397,LiBa0.99PO4Eu0.01
7,4,0.03,3.97,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.21,54.32,1.89,52.43,239.675872,133.20719,4.55892,128.64827,699.1,240,5.55,234.45,17.7933,13.76,0,13.76,32,24,0.06,23.94,75.57604239,54.472216,0.17011155,54.30210445,298,350,0.1401,LiBa0.97PO4Eu0.03
7,4,0.05,3.95,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.35,53.2,3,50.2,239.968612,130.46065,6.94,123.52065,698.5,240,9.25,230.75,17.7755,13.76,0,13.76,32,24,0.1,23.9,75.58521681,54.472216,0.28351925,54.18869675,298,350,0.1403,LiBa0.95PO4Eu0.05
7,4,0.07,3.93,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.49,52.08,3,49.08,240.261352,127.71411,6.94,120.77411,697.9,240,12.95,227.05,17.7577,13.76,0,13.76,32,24,0.14,23.86,75.59439123,54.472216,0.39692695,54.07528905,298,350,0.1409,LiBa0.93PO4Eu0.07
7,4,0.09,3.91,145,63,3,60,343.203762,151.964,6.94,145.024,705,215,60,155,7.5,3.44,0,3.44,16,6,1,5,40.37850376,13.618054,5.211664,8.40639,106.63,50.96,3,47.96,240.554092,124.96757,6.94,118.02757,697.3,240,16.65,223.35,17.7399,13.76,0,13.76,32,24,0.18,23.82,75.60356565,54.472216,0.51033465,53.96188135,298,350,0.1411,LiBa0.91PO4Eu0.09
