Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Excitation source (nm),Monitoring energy (nm),Log10 Decay time ( log10[ns]),Formula
45,28,0.14,27.86,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,573.02,224,8.82,215.18,1181.270374,447.972,21.27496,426.69704,4185.7,1680,25.9,1654.1,121.63,96.32,0,96.32,223,168,0.28,167.72,515.207323,381.305512,0.7938539,380.5116581,298,320,377,2.326335861,Ca8.86CeP7O28Eu0.14
45,28,0.1,27.9,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,571.3,224,6.3,217.7,1176.794934,447.972,15.1964,432.7756,4185.5,1680,18.5,1661.5,121.67,96.32,0,96.32,223,168,0.2,167.8,515.2250338,381.305512,0.5670385,380.7384735,298,320,377,2.390935107,Ca8.9CeP7O28Eu0.1
45,28,0.06,27.94,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,569.58,224,3.78,220.22,1172.319494,447.972,9.11784,438.85416,4185.3,1680,11.1,1668.9,121.71,96.32,0,96.32,223,168,0.12,167.88,515.2427446,381.305512,0.3402231,380.9652889,298,320,377,2.478566496,Ca8.94CeP7O28Eu0.06
45,28,0.01,27.99,164,63,8,55,379.130762,151.964,15.999,135.965,710,185,60,125,7.75,3.44,0,3.44,17,6,2,4,41.4268802,13.618054,5.5386,8.079454,567.43,224,0.63,223.37,1166.725194,447.972,1.51964,446.45236,4185.05,1680,1.85,1678.15,121.76,96.32,0,96.32,223,168,0.02,167.98,515.2648831,381.305512,0.05670385,381.2488082,298,320,377,2.57054294,Ca8.99CeP7O28Eu0.01
21.03,13,0.03,12.97,136,63,8,55,309.25884,151.964,15.999,135.965,685,185,60,125,7.87,3.44,0,3.44,17,6,2,4,41.303617,13.618054,5.670385,7.947669,315.89,156,1.89,154.11,676.72928,355.62336,4.55892,351.06444,1985.55,780,5.55,774.45,56.61,44.72,0,44.72,104.06,78,0.06,77.94,234.1751376,177.034702,0.17011155,176.8645905,298,355,395,1.467711673,MgY4Si3O13Eu0.03
12.02,7,0.02,6.98,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,165.26,56,1.26,54.74,357.13928,137.327,3.03928,134.28772,1158.7,420,3.7,416.3,31.39,24.08,0,24.08,56.04,42,0.04,41.96,132.2472857,95.326378,0.1134077,95.2129703,420,320,396,2.689575216,BaMg2Si2O7Eu0.02
12.02,7,0.02,6.98,153,63,8,55,357.68,151.964,15.999,135.965,720,215,60,155,7.54,3.44,0,3.44,16,6,2,4,40.298021,13.618054,5.211664,8.40639,165.26,56,1.26,54.74,357.13928,137.327,3.03928,134.28772,1158.7,420,3.7,416.3,31.39,24.08,0,24.08,56.04,42,0.04,41.96,132.2472857,95.326378,0.1134077,95.2129703,298,320,396,2.725339816,BaMg2Si2O7Eu0.02
10,6,0.05,5.95,264,83,8,75,627.68724,208.9804,15.999,192.9814,910,185,60,125,9.61,3.44,0,3.44,23,6,2,4,47.5127592,13.618054,5.670385,7.947669,183.8,51,4.15,46.85,402.278292,121.76,10.44902,111.31098,1044.75,360,8,352,25.761,20.64,0,20.64,47.95,36,0.25,35.75,108.731665,81.708324,0.3642758,81.3440482,298,290,400,1.792391689,Ca2Y0.80SbO6Eu0.15Bi0.05
14.03,8,0.03,7.97,181,63,8,55,415.440062,151.964,15.999,135.965,960,220,60,160,8.34,3.44,0,3.44,18,6,1,5,45.44060774,13.618054,4.34066354,9.27739046,209.89,64,1.89,62.11,450.100044,137.327,4.55892,132.76808,1520.55,480,5.55,474.45,35.43,27.52,0,27.52,64.06,48,0.06,47.94,150.0940618,108.944432,0.17011155,108.7743205,298,350,410,2.723133731,K2BaCaP2O8Eu0.03
6.06,4,0.06,3.94,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,129.78,74,3.78,70.22,297.03184,183.84,9.11784,174.72216,566.1,240,11.1,228.9,16.46,13.76,0,13.76,32.12,24,0.12,23.88,68.7896243,54.472216,0.3402231,54.1319929,298,276,415,3.561101384,CaWO4Eu0.06
6.2,4,0.2,3.8,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,138.6,74,12.6,61.4,318.3068,183.84,30.3928,153.4472,592,240,37,203,16.46,13.76,0,13.76,32.4,24,0.4,23.6,69.5834782,54.472216,1.134077,53.338139,298,276,415,3.613841822,CaWO4Eu0.2
6.04,4,0.04,3.96,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,128.52,74,2.52,71.48,293.99256,183.84,6.07856,177.76144,562.4,240,7.4,232.6,16.46,13.76,0,13.76,32.08,24,0.08,23.92,68.6762166,54.472216,0.2268154,54.2454006,298,276,415,3.662757832,CaWO4Eu0.04
6.12,4,0.12,3.88,165,74,8,66,391.881,183.84,15.999,167.841,560,185,60,125,6.14,3.44,0,3.44,16,6,2,4,33.2656242,13.618054,5.670385,7.947669,133.56,74,7.56,66.44,306.14968,183.84,18.23568,165.60432,577.2,240,22.2,217.8,16.46,13.76,0,13.76,32.24,24,0.24,23.76,69.1298474,54.472216,0.6804462,53.7917698,298,276,415,3.795880017,CaWO4Eu0.12
