Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),1st Excitation max. (nm),Formula
21.03,13,0.03,12.97,136,63,8,55,309.25884,151.964,15.999,135.965,685,185,60,125,7.87,3.44,0,3.44,17,6,2,4,41.303617,13.618054,5.670385,7.947669,315.89,156,1.89,154.11,676.72928,355.62336,4.55892,351.06444,1985.55,780,5.55,774.45,56.61,44.72,0,44.72,104.06,78,0.06,77.94,234.1751376,177.034702,0.17011155,176.8645905,298,395,355,MgY4Si3O13Eu0.03
8.0125,4,0.0025,3.9975,184,63,3,60,430.724,151.964,6.94,145.024,885,200,60,140,8.39,3.44,0,3.44,17,6,1,5,44.06530396,13.618054,5.391714761,8.226339239,90.775,38,0.145,37.855,195.45093,87.62,0.35029,87.26971,842.3125,290,0.4625,289.5375,18.5728,13.76,0,13.76,32.025,24,0.005,23.995,79.17274607,54.472216,0.0138465,54.4583695,298,413,361,Li2SrSiO4Eu0.01Ce0.0025
8.015,4,0.005,3.995,184,63,3,60,430.724,151.964,6.94,145.024,885,200,60,140,8.39,3.44,0,3.44,17,6,1,5,44.06530396,13.618054,5.391714761,8.226339239,90.92,38,0.29,37.71,195.80122,87.62,0.70058,86.91942,842.775,290,0.925,289.075,18.5756,13.76,0,13.76,32.03,24,0.01,23.99,79.18659257,54.472216,0.027693,54.444523,298,413,361,Li2SrSiO4Eu0.01Ce0.005
8.0175,4,0.0075,3.9925,184,63,3,60,430.724,151.964,6.94,145.024,885,200,60,140,8.39,3.44,0,3.44,17,6,1,5,44.06530396,13.618054,5.391714761,8.226339239,91.065,38,0.435,37.565,196.15151,87.62,1.05087,86.56913,843.2375,290,1.3875,288.6125,18.5784,13.76,0,13.76,32.035,24,0.015,23.985,79.20043907,54.472216,0.0415395,54.4306765,298,413,361,Li2SrSiO4Eu0.01Ce0.0075
8.02,4,0.01,3.99,184,63,3,60,430.724,151.964,6.94,145.024,885,200,60,140,8.39,3.44,0,3.44,17,6,1,5,44.06530396,13.618054,5.391714761,8.226339239,91.21,38,0.58,37.42,196.5018,87.62,1.40116,86.21884,843.7,290,1.85,288.15,18.5812,13.76,0,13.76,32.04,24,0.02,23.98,79.21428557,54.472216,0.055386,54.41683,298,413,361,Li2SrSiO4Eu0.01Ce0.01
13,8,0.01,7.99,154,63,8,55,351.936762,151.964,15.999,135.965,680,200,60,140,8.23,3.44,0,3.44,27,12,2,10,44.8641912,13.618054,5.670385,7.947669,192.25,64,0.63,63.37,408.962964,130.76,1.51964,129.24036,1149.85,480,1.85,478.15,36.1405,27.52,0,27.52,84,48,0.02,47.98,154.4008244,108.944432,0.05670385,108.8877282,298,416,365,Sr0.99Zn2P2O8Eu0.01
13,8,0.006,7.994,179,63,8,55,406.874806,151.964,15.999,135.965,820,200,60,140,9.78,3.44,0,3.44,34,12,2,10,52.2982092,13.618054,5.670385,7.947669,192.22,64,0.15,63.85,408.9003123,130.36772,0.329628264,130.0380917,1149.88,480,0.84,479.16,36.1399,27.52,0,27.52,83.97,48,0.02,47.98,154.3890633,108.944432,0.044604108,108.8998279,298,416,365,Sr0.99Zn1.994P2O8Eu0.01Mn0.006
13,8,0.01,7.99,179,63,8,55,406.874806,151.964,15.999,135.965,820,200,60,140,9.78,3.44,0,3.44,34,12,2,10,52.2982092,13.618054,5.670385,7.947669,192.2,64,0.25,63.75,408.8585444,130.1062,0.54938044,129.5568196,1149.9,480,1.4,478.6,36.1395,27.52,0,27.52,83.95,48,0.02,47.98,154.3812226,108.944432,0.05670385,108.8877282,298,416,365,Sr0.99Zn1.99P2O8Eu0.01Mn0.01
12.874,8,0.01,7.99,179,63,8,55,406.874806,151.964,15.999,135.965,820,200,60,140,9.78,3.44,0,3.44,34,12,2,10,52.2982092,13.618054,5.670385,7.947669,188.4,64,0.35,63.65,400.5788966,127.992,0.769132616,127.2228674,1132.91,480,1.85,478.15,35.9312,27.52,0,27.52,82.418,48,0.02,47.98,153.1897128,108.944432,0.05670385,108.8877282,298,416,365,Sr0.99Zn1.86P2O8Eu0.01Mn0.014
13.07,8,0.07,7.93,129,63,8,55,286.0973078,151.964,15.999,135.965,840,185,60,125,8.88,3.44,0,3.44,18,6,1,5,44.6781223,13.618054,5.1390767,8.4789773,139.69,64,3.74,60.26,283.4057355,127.992,7.816521555,120.1754784,1137.85,480,12.95,467.05,35.6148,27.52,0,27.52,64.14,48,0.14,47.86,144.1346412,108.944432,0.39692695,108.5475051,298,420,365,Na0.34Ca0.66Al1.66Si2.34O8Eu0.07
