Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Temp. (K),Monitoring energy (nm),2nd Excitation max. (nm),Formula
12.012,7,0.002,6.998,170,66,8,58,397.5225385,162.5,15.999,146.501,725,185,60,125,7.27,3.44,0,3.44,15,6,2,4,37.3264126,13.618054,5.670385,7.947669,128.762,56,0.132,55.868,261.841794,111.993,0.325,111.668,1102.2,500,0.35,499.65,31.52244,24.08,0,24.08,56.024,42,0.004,41.996,125.4511888,95.326378,0.0118781,95.3144999,298,445,325,CaAl4O7Eu0.01Dy0.002
19.99,12,0.01,11.99,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,216.41,96,0.63,95.37,444.8502544,191.988,1.51964,190.46836,1878.25,720,1.85,718.15,53.3414,41.28,0,41.28,96,72,0.02,71.98,223.3708384,163.416648,0.05670385,163.3599442,298,453,250,Na2.98Sc2P3O12Eu0.01
19.99,12,0.01,11.99,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,216.41,96,0.63,95.37,444.8502544,191.988,1.51964,190.46836,1878.25,720,1.85,718.15,53.3414,41.28,0,41.28,96,72,0.02,71.98,223.3708384,163.416648,0.05670385,163.3599442,323,453,250,Na2.98Sc2P3O12Eu0.01
19.99,12,0.01,11.99,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,216.41,96,0.63,95.37,444.8502544,191.988,1.51964,190.46836,1878.25,720,1.85,718.15,53.3414,41.28,0,41.28,96,72,0.02,71.98,223.3708384,163.416648,0.05670385,163.3599442,373,453,250,Na2.98Sc2P3O12Eu0.01
19.99,12,0.01,11.99,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,216.41,96,0.63,95.37,444.8502544,191.988,1.51964,190.46836,1878.25,720,1.85,718.15,53.3414,41.28,0,41.28,96,72,0.02,71.98,223.3708384,163.416648,0.05670385,163.3599442,423,453,250,Na2.98Sc2P3O12Eu0.01
19.99,12,0.01,11.99,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,216.41,96,0.63,95.37,444.8502544,191.988,1.51964,190.46836,1878.25,720,1.85,718.15,53.3414,41.28,0,41.28,96,72,0.02,71.98,223.3708384,163.416648,0.05670385,163.3599442,473,453,250,Na2.98Sc2P3O12Eu0.01
19.97,12,0.03,11.97,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,217.23,96,1.89,94.11,446.9699437,191.988,4.55892,187.42908,1874.75,720,5.55,714.45,53.3042,41.28,0,41.28,96,72,0.06,71.94,223.278683,163.416648,0.17011155,163.2465365,298,453,250,Na2.94Sc2P3O12Eu0.03
19.97,12,0.03,11.97,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,217.23,96,1.89,94.11,446.9699437,191.988,4.55892,187.42908,1874.75,720,5.55,714.45,53.3042,41.28,0,41.28,96,72,0.06,71.94,223.278683,163.416648,0.17011155,163.2465365,323,453,250,Na2.94Sc2P3O12Eu0.03
19.97,12,0.03,11.97,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,217.23,96,1.89,94.11,446.9699437,191.988,4.55892,187.42908,1874.75,720,5.55,714.45,53.3042,41.28,0,41.28,96,72,0.06,71.94,223.278683,163.416648,0.17011155,163.2465365,373,453,250,Na2.94Sc2P3O12Eu0.03
19.97,12,0.03,11.97,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,217.23,96,1.89,94.11,446.9699437,191.988,4.55892,187.42908,1874.75,720,5.55,714.45,53.3042,41.28,0,41.28,96,72,0.06,71.94,223.278683,163.416648,0.17011155,163.2465365,423,453,250,Na2.94Sc2P3O12Eu0.03
19.97,12,0.03,11.97,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,217.23,96,1.89,94.11,446.9699437,191.988,4.55892,187.42908,1874.75,720,5.55,714.45,53.3042,41.28,0,41.28,96,72,0.06,71.94,223.278683,163.416648,0.17011155,163.2465365,473,453,250,Na2.94Sc2P3O12Eu0.03
19.93,12,0.07,11.93,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,218.87,96,4.41,91.59,451.2093221,191.988,10.63748,181.35052,1867.75,720,12.95,707.05,53.2298,41.28,0,41.28,96,72,0.14,71.86,223.0943723,163.416648,0.39692695,163.0197211,298,453,250,Na2.86Sc2P3O12Eu0.07
19.93,12,0.07,11.93,118,63,8,55,266.8824393,151.964,15.999,135.965,685,185,60,125,7.92,3.44,0,3.44,17,6,1,5,41.4756917,13.618054,5.1390767,8.4789773,218.87,96,4.41,91.59,451.2093221,191.988,10.63748,181.35052,1867.75,720,12.95,707.05,53.2298,41.28,0,41.28,96,72,0.14,71.86,223.0943723,163.416648,0.39692695,163.0197211,323,453,250,Na2.86Sc2P3O12Eu0.07
