Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Temp. (K),Int. quantum efficiency (%),Formula
32.1,19,0.1,18.9,153,63,8,55,358.1550085,151.964,15.999,135.965,715,195,60,135,7.46,3.44,0,3.44,16,6,2,4,38.4973424,13.618054,5.5769,8.041154,370.3,152,6.3,145.7,779.1847935,303.981,15.1964,288.7846,2878.5,1375,18.5,1356.5,85.48,65.36,0,65.36,152.2,114,0.2,113.8,338.3766519,258.743026,0.5670385,258.1759875,464,298,0.33,LaMgAl11O19Eu0.1
5,3,0.05,2.95,225,83,8,75,531.9378393,208.9804,15.999,192.9814,950,220,60,160,8.69,3.44,0,3.44,20,6,1,5,42.81254524,13.618054,4.34066354,9.27739046,85.8,41,3.15,37.85,186.8902212,92.90637,7.5982,85.30817,522.25,180,8,172,12.8025,10.32,0,10.32,24.25,18,0.1,17.9,52.52669016,40.854162,0.28351925,40.57064275,465,298,0.34,K0.45Na0.45NbO3Eu0.05Bi0.05
21,12,0.05,11.95,149,63,8,55,341.9745,151.964,15.999,135.965,680,200,60,140,9.18,3.44,0,3.44,22,7,2,5,44.6971232,13.618054,5.670385,7.947669,373.25,188.1,3.15,184.95,821.5797,433.719,7.5982,426.1208,2224.25,990,9.25,980.75,54.0325,41.28,0,41.28,104,72,0.1,71.9,225.0959509,163.416648,0.28351925,163.1331288,365,298,0.7,Sr4.95V3O12ClEu0.05
19.02,12,0.02,11.98,168,83,8,75,405.0284,208.9804,15.999,192.9814,515,185,60,125,7.24,3.44,0,3.44,17,6,2,4,34.725638,13.618054,5.670385,7.947669,471.26,332,1.26,330.74,1115.20388,835.9216,3.03928,832.88232,1693.7,720,3.7,716.3,54.58,41.28,0,41.28,104.04,72,0.04,71.96,217.1271687,163.416648,0.1134077,163.3032403,273,298,1.6,Bi4Si3O12Eu0.02
4.995,3,0.01,2.99,113,63,8,55,255.908,151.964,15.999,135.965,565,185,60,125,5.98,3.44,0,3.44,14,6,2,4,32.2297142,13.618054,5.670385,7.947669,66.33,24,0.63,23.37,136.86047,47.997,1.51964,46.47736,499.15,180,1.85,178.15,12.845,10.32,0,10.32,23.99,18,0.02,17.98,53.76044372,40.854162,0.05670385,40.79745815,397,298,1.9,Ca0.985TiO3Eu0.01
5,3,0.01,2.99,116,63,3,60,262.848,151.964,6.94,145.024,710,185,60,125,6.96,3.44,0,3.44,15,6,1,5,37.62142896,13.618054,5.391714761,8.226339239,66.26,24,0.03,23.97,136.72948,47.997,0.0694,47.9276,499.7,180,1.45,178.55,12.8498,10.32,0,10.32,23.99,18,0.01,17.99,53.78379509,40.854162,0.053917148,40.80024485,397,298,2,Ca0.98TiO3Li0.01Eu0.01
21,12,0.05,11.95,160,63,8,55,364.9642693,151.964,15.999,135.965,860,200,60,140,10.11,3.44,0,3.44,23,7,1,6,49.8361999,13.618054,5.1390767,8.4789773,371.9,186.2,0.55,185.65,818.3481885,429.338,1.149488464,428.1885115,2223.25,980,9,971,54.0315,41.28,0,41.28,103.95,72,0.05,71.95,225.0681614,163.416648,0.256953835,163.1596942,365,298,2.5,Sr4.9V3O12ClNa0.05Eu0.05
8,4,0.05,3.95,149,63,8,55,341.9745,151.964,15.999,135.965,680,200,60,140,9.18,3.44,0,3.44,22,7,2,5,44.6971232,13.618054,5.670385,7.947669,149.25,74.1,3.15,70.95,328.8447,170.859,7.5982,163.2608,874.25,390,9.25,380.75,20.4025,13.76,0,13.76,40,24,0.1,23.9,85.57454329,54.472216,0.28351925,54.18869675,276,298,2.9,Sr1.95VO4ClEu0.05
122.005,55,0.005,54.995,106,63,3,60,239.9705385,151.964,6.94,145.024,700,185,65,120,6.63,3.04,0,3.04,13,5,1,4,37.69515336,14.53413,5.391714761,9.142415239,1316.315,507,0.315,506.685,2680.504822,1052.280002,0.75982,1051.520182,13210.925,4875,0.925,4874.075,257.83,167.2,0,167.2,440.01,275,0.01,274.99,1198.247292,799.37715,0.028351925,799.3487981,450,298,3,Ca20Li8Al39N55Eu0.005
122.005,55,0.005,54.995,106,63,3,60,239.9705385,151.964,6.94,145.024,700,185,65,120,6.63,3.04,0,3.04,13,5,1,4,37.69515336,14.53413,5.391714761,9.142415239,1316.315,507,0.315,506.685,2680.504822,1052.280002,0.75982,1051.520182,13210.925,4875,0.925,4874.075,257.83,167.2,0,167.2,440.01,275,0.01,274.99,1198.247292,799.37715,0.028351925,799.3487981,390,298,4,Ca20Li8Al39N55Eu0.005
5,2,0.05,1.95,126,63,8,55,288.92884,151.964,15.999,135.965,525,185,60,125,7.24,3.44,0,3.44,17,6,2,4,35.865709,13.618054,5.670385,7.947669,111.2,76.05,3.15,72.9,245.022588,173.366388,7.5982,165.768188,580.25,351,9.25,341.75,11.839,6.88,0,6.88,23.95,12,0.1,11.9,50.00329425,27.236108,0.28351925,26.95258875,395,298,4.2,Y1.95O2SEu0.05
38.95,22,0.005,21.995,110,63,5,58,246.936,151.964,10.81,141.154,620,185,60,125,8.38,3.44,0,3.44,17,6,2,4,41.8512962,13.618054,5.670385,7.947669,461.215,218.9,0.315,218.585,925.35153,438.65371,0.75982,437.89389,3901.025,1970.1,0.925,1969.175,98.305,75.68,0,75.68,175.9,132,0.01,131.99,415.7367936,299.597188,0.028351925,299.5688361,365,298,5.3,Ca10.945Si4O22B2Eu0.005
21.04,12,0.04,11.96,189,63,8,55,441.2792432,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156,378.52,117,2.52,114.48,842.6914832,274.654,6.07856,268.57544,2077.4,720,7.4,712.6,56.4,41.28,0,41.28,104.08,72,0.08,71.92,234.5964404,163.416648,0.2268154,163.1898326,350,298,6,Ba2Y3Si3O12FEu0.04
4.975,3,0.05,2.95,113,63,8,55,255.908,151.964,15.999,135.965,565,185,60,125,5.98,3.44,0,3.44,14,6,2,4,32.2297142,13.618054,5.670385,7.947669,67.65,24,3.15,20.85,140.53435,47.997,7.5982,40.3988,495.75,180,9.25,170.75,12.785,10.32,0,10.32,23.95,18,0.1,17.9,53.62046981,40.854162,0.28351925,40.57064275,397,298,6.8,Ca0.925TiO3Eu0.05
42,26,0.08,25.92,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,575.44,208,5.04,202.96,1209.202392,415.974,12.15712,403.81688,3990.4,1560,14.8,1545.2,112.7,89.44,0,89.44,208,156,0.16,155.84,477.01314,354.069404,0.4536308,353.6157732,318,298,7,Ca7.92La2P6O26Eu0.08
5,2,0.05,1.95,126,63,8,55,288.92884,151.964,15.999,135.965,525,185,60,125,7.24,3.44,0,3.44,17,6,2,4,35.865709,13.618054,5.670385,7.947669,111.2,76.05,3.15,72.9,245.022588,173.366388,7.5982,165.768188,580.25,351,9.25,341.75,11.839,6.88,0,6.88,23.95,12,0.1,11.9,50.00329425,27.236108,0.28351925,26.95258875,465,298,7,Y1.95O2SEu0.05
5,3,0.03,2.97,126,63,8,55,282.8895385,151.964,15.999,135.965,690,185,60,125,7.59,3.44,0,3.44,17,6,2,4,38.2154826,13.618054,5.670385,7.947669,67.88,24,0.39,23.61,140.9097362,47.997,0.809446155,47.18755385,499.8,180,3.75,176.25,12.8121,10.32,0,10.32,23.97,18,0.09,17.91,53.74802814,40.854162,0.179573052,40.67458895,397,298,7,Ca0.95Ti0.97O3Eu0.05Al0.03
4.85,3,0.3,2.7,113,63,8,55,255.908,151.964,15.999,135.965,565,185,60,125,5.98,3.44,0,3.44,14,6,2,4,32.2297142,13.618054,5.670385,7.947669,75.9,24,11,13,163.4961,47.997,22.0429,25.9541,474.5,180,55.5,124.5,12.41,10.32,0,10.32,23.7,18,0.6,17.4,52.74563286,40.854162,1.7011155,39.1530465,397,298,7.3,Ca0.55TiO3Eu0.3
2.004,1,0.004,0.996,101,63,8,55,233.343,151.964,15.999,135.965,380,185,60,125,5.09,3.44,0,3.44,20,12,2,10,28.682638,13.618054,5.670385,7.947669,38.252,30,0.252,29.748,81.986856,65.38,0.607856,64.772144,195.74,135,0.74,134.26,5.09,3.44,0,3.44,18.008,12,0.008,11.992,23.03493454,13.618054,0.02268154,13.59537246,466,298,7.8,ZnOEu0.004
7,4,0.02,3.98,186,63,8,55,428.391044,151.964,15.999,135.965,890,215,60,155,8.78,3.44,0,3.44,23,7,2,5,46.1989592,13.618054,5.211664,8.40639,133.54,71.68,1.26,70.42,300.7366453,175.77856,3.03928,172.73928,750.1,275.2,3.7,271.5,17.5652,13.76,0,13.76,32.6,24,0.04,23.96,73.8459488,54.472216,0.1134077,54.3588083,390,298,8,Ba1.28Ca0.58SiO4Eu0.02Mn0.12
5,3,0.05,2.95,116,63,3,60,262.848,151.964,6.94,145.024,710,185,60,125,6.96,3.44,0,3.44,15,6,1,5,37.62142896,13.618054,5.391714761,8.226339239,67.3,24,0.15,23.85,139.8794,47.997,0.347,47.65,498.5,180,7.25,172.75,12.809,10.32,0,10.32,23.95,18,0.05,17.95,53.73722667,40.854162,0.269585738,40.58457626,397,298,8.3,Ca0.9TiO3Li0.05Eu0.05
19,12,0.5,11.5,252,74,8,66,602.63347,183.84,15.999,167.841,925,200,60,140,8.5,3.44,0,3.44,21,6,2,4,46.0704712,13.618054,5.5769,8.041154,423,148,24,124,980.238205,367.68,48.61,319.07,1875,720,92.5,627.5,49.9,41.28,0,41.28,95.5,72,1,71,211.3325877,163.416648,2.8351925,160.5814555,395,298,8.8,SrLa1.5Mg2W2O12Eu0.5
21.02,12,0.02,11.98,189,63,8,55,441.2792432,151.964,15.999,135.965,800,215,50,165,11.43,3.98,0,3.98,24,7,2,5,56.291866,17.42282,5.211664,12.211156,377.26,117,1.26,115.74,839.6522032,274.654,3.03928,271.61472,2073.7,720,3.7,716.3,56.4,41.28,0,41.28,104.04,72,0.04,71.96,234.4830327,163.416648,0.1134077,163.3032403,350,298,8.8,Ba2Y3Si3O12FEu0.02
42,26,0.06,25.94,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,574.58,208,3.78,204.22,1206.964672,415.974,9.11784,406.85616,3990.3,1560,11.1,1548.9,112.72,89.44,0,89.44,208,156,0.12,155.88,477.0219954,354.069404,0.3402231,353.7291809,318,298,9,Ca7.94La2P6O26Eu0.06
122.005,55,0.005,54.995,106,63,3,60,239.9705385,151.964,6.94,145.024,700,185,65,120,6.63,3.04,0,3.04,13,5,1,4,37.69515336,14.53413,5.391714761,9.142415239,1316.315,507,0.315,506.685,2680.504822,1052.280002,0.75982,1051.520182,13210.925,4875,0.925,4874.075,257.83,167.2,0,167.2,440.01,275,0.01,274.99,1198.247292,799.37715,0.028351925,799.3487981,500,298,9,Ca20Li8Al39N55Eu0.005
18.79,12,0.005,11.995,170,63,8,55,386.450714,151.964,15.999,135.965,845,200,60,140,9.49,3.44,0,3.44,25,7,2,5,49.4655002,13.618054,5.670385,7.947669,266.845,102.03,0.315,101.715,571.3785184,235.2597,0.75982,234.49988,1731.925,720,0.925,719.075,51.91575,41.28,0,41.28,96.08,72,0.01,71.99,217.5006682,163.416648,0.028351925,163.3882961,350,298,9.4,Sr2.685ScP3O12Eu0.005Mn0.1
5.05,3,0.05,2.95,110,63,8,55,256.86884,151.964,15.999,135.965,425,185,60,125,4.66,3.44,0,3.44,11,6,2,4,25.505699,13.618054,5.670385,7.947669,105.15,78,3.15,74.85,233.40688,177.81168,7.5982,170.21348,549.25,360,9.25,350.75,12.76,10.32,0,10.32,24.1,18,0.1,17.9,53.57220125,40.854162,0.28351925,40.57064275,394,298,9.6,Y2O3Eu0.05
38.785,22,0.005,21.995,110,63,5,58,246.936,151.964,10.81,141.154,620,185,60,125,8.38,3.44,0,3.44,17,6,2,4,41.8512962,13.618054,5.670385,7.947669,457.915,215.6,0.315,215.285,918.73866,432.04084,0.75982,431.28102,3871.325,1940.4,0.925,1939.475,98.14,75.68,0,75.68,175.57,132,0.01,131.99,414.728123,299.597188,0.028351925,299.5688361,394,298,9.7,Ca10.78Si4O22B2Eu0.005
22,13,0.45,12.55,153,63,5,58,357.75647,151.964,10.81,141.154,705,195,60,135,7.58,3.44,0,3.44,16,6,2,4,39.2765132,13.618054,5.5769,8.041154,219.3,104,20,84,469.8226615,207.987,40.078,167.909,1744.5,780,87.75,692.25,60.495,44.72,0,44.72,103.45,78,1.1,76.9,246.862307,177.034702,2.509605,174.525097,395,298,10.1,CaLa0.45B7O13Eu0.55
18.79,11,0.07,10.93,212,74,8,66,512.1197693,183.84,15.999,167.841,775,215,60,155,6.96,3.44,0,3.44,17,6,1,5,37.5032097,13.618054,5.1390767,8.4789773,470.73,208.32,4.41,203.91,1111.142459,510.85644,10.63748,500.21896,2102.75,799.8,12.95,786.85,46.4108,37.84,0,37.84,87.58,66,0.14,65.86,195.5891244,149.798594,0.39692695,149.4016671,275,298,10.1,Ba3.72Na2W2O11Eu0.07
