Atomic Ratio_sum,Atomic Ratio_max,Atomic Ratio_min,Atomic Ratio_diff,Atomic Number_sum,Atomic Number_max,Atomic Number_min,Atomic Number_diff,Atomic Weight_sum,Atomic Weight_max,Atomic Weight_min,Atomic Weight_diff,Atomic Radius_sum,Atomic Radius_max,Atomic Radius_min,Atomic Radius_diff,EN pauling_sum,EN pauling_max,EN pauling_min,EN pauling_diff,Valence Electron_sum,Valence Electron_max,Valence Electron_min,Valence Electron_diff,Ionization Energy_sum,Ionization Energy_max,Ionization Energy_min,Ionization Energy_diff,ARW_Atomic Number_sum,ARW_Atomic Number_max,ARW_Atomic Number_min,ARW_Atomic Number_diff,ARW_Atomic Weight_sum,ARW_Atomic Weight_max,ARW_Atomic Weight_min,ARW_Atomic Weight_diff,ARW_Atomic Radius_sum,ARW_Atomic Radius_max,ARW_Atomic Radius_min,ARW_Atomic Radius_diff,ARW_EN pauling_sum,ARW_EN pauling_max,ARW_EN pauling_min,ARW_EN pauling_diff,ARW_Valence Electron_sum,ARW_Valence Electron_max,ARW_Valence Electron_min,ARW_Valence Electron_diff,ARW_Ionization Energy_sum,ARW_Ionization Energy_max,ARW_Ionization Energy_min,ARW_Ionization Energy_diff,Excitation source (nm),Thermal quenching temp. (K),Formula
42,26,0.06,25.94,170,65,8,57,395.05135,158.92535,15.999,142.92635,710,185,60,125,6.34,3.44,0,3.44,16,6,2,4,39.4170772,13.618054,5.670385,7.947669,851.88,516.1,3.78,512.32,1935.625119,1261.867279,9.11784,1252.749439,3980.6,1560,11.1,1548.9,102.84,89.44,0,89.44,200,156,0.12,155.88,462.1046075,354.069404,0.3402231,353.7291809,238,563,Ca2Tb7.94Si6O26Eu0.06
45,28,0.4,27.6,163,63,8,55,377.920232,151.964,15.999,135.965,720,195,60,135,7.73,3.44,0,3.44,18,6,2,4,41.4651802,13.618054,5.5769,8.041154,569.6,224,22.8,201.2,1172.230922,447.972,55.562188,392.409812,4189,1680,78,1602,121.09,96.32,0,96.32,223.4,168,1.2,166.8,515.3637018,381.305512,2.23076,379.074752,261,470,Ca9La0.4P7O28Eu0.6
17.05,9,0.05,8.95,160,63,8,55,372.4733,151.964,15.999,135.965,790,220,60,160,7.05,3.44,0,3.44,15,6,1,5,36.99244954,13.618054,4.34066354,9.27739046,249.15,76,3.15,72.85,529.5644,156.3932,7.5982,148.795,1974.25,880,9.25,870.75,40.83,30.96,0,30.96,72.1,54,0.1,53.9,169.8753724,122.562486,0.28351925,122.2789668,266,608,K4BaSi3O9Eu0.05
17.05,9,0.05,8.95,142,63,8,55,322.7663,151.964,15.999,135.965,775,220,60,160,7.11,3.44,0,3.44,15,6,1,5,37.47565274,13.618054,4.34066354,9.27739046,231.15,76,3.15,72.85,479.8574,156.3932,7.5982,148.795,1959.25,880,9.25,870.75,40.89,30.96,0,30.96,72.1,54,0.1,53.9,170.3585756,122.562486,0.28351925,122.2789668,266,610,K4SrSi3O9Eu0.05
10,6,0.14,5.86,187,64,8,56,438.46,157.25,15.999,141.251,700,185,60,125,7.83,3.44,0,3.44,26,12,2,10,41.660554,13.618054,5.670385,7.947669,227.86,119.04,8.82,110.22,523.00096,292.485,21.27496,271.21004,995.7,360,25.9,334.1,26.062,20.64,0,20.64,56,36,0.28,35.72,110.1631175,81.708324,0.7938539,80.9144701,270,425,Gd1.86ZnTiO6Eu0.14
19.02,12,0.02,11.98,168,83,8,75,405.0284,208.9804,15.999,192.9814,515,185,60,125,7.24,3.44,0,3.44,17,6,2,4,34.725638,13.618054,5.670385,7.947669,471.26,332,1.26,330.74,1115.20388,835.9216,3.03928,832.88232,1693.7,720,3.7,716.3,54.58,41.28,0,41.28,104.04,72,0.04,71.96,217.1271687,163.416648,0.1134077,163.3032403,273,420,Bi4Si3O12Eu0.02
9,6,0.26,5.74,184,74,8,66,440.70884,183.84,15.999,167.841,560,185,60,125,6.36,3.44,0,3.44,17,6,2,4,33.369729,13.618054,5.670385,7.947669,206.24,74,16.38,57.62,474.0408016,183.84,39.51064,144.32936,856.3,360,48.1,311.9,24.4628,20.64,0,20.64,47.74,36,0.52,35.48,101.8646865,81.708324,1.4743001,80.2340239,275,435,Y1.74WO6Eu0.26
6,4,0.08,3.92,207,74,8,66,487.831,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669,110.24,32,5.04,26.96,244.13088,73.536,12.15712,61.37888,561.4,240,14.8,225.2,16.656,13.76,0,13.76,32,24,0.16,23.84,67.95101958,54.472216,0.4536308,54.0185852,280,435,Ca0.92W0.4Mo0.6O4Eu0.08
6.08,4,0.08,3.92,207,74,8,66,487.831,183.84,15.999,167.841,705,185,60,125,8.3,3.44,0,3.44,22,6,2,4,40.3580542,13.618054,5.670385,7.947669,111.84,32,5.04,26.96,247.33712,73.536,12.15712,61.37888,575.8,240,14.8,225.2,16.736,13.76,0,13.76,32.16,24,0.16,23.84,68.440072,54.472216,0.4536308,54.0185852,280,440,CaW0.4Mo0.6O4Eu0.08
7,4,0.3,3.7,168,64,8,56,396.0697693,157.25,15.999,141.251,745,185,60,125,7.11,3.44,0,3.44,15,6,1,5,37.4054317,13.618054,5.1390767,8.4789773,128.7,44.8,11,33.8,290.5169693,110.075,22.98976928,87.08523072,741.5,240,55.5,184.5,17.07,13.76,0,13.76,31,24,0.6,23.4,72.4453854,54.472216,1.7011155,52.7711005,287,465,NaGd0.7TiO4Eu0.3
